rm;sprint;data_sprint
18340;201802-02;2018-02-19 16:26:47
18340;201803-01;2018-03-07 16:58:40
18347;201802-01;2018-01-29 11:39:34
18347;201802-02;2018-02-19 16:28:20
18347;201803-01;2018-03-07 16:58:42
18347;201803-02;2018-03-19 08:42:51
18347;201804-01;2018-04-03 13:38:52
18347;201804-02;2018-04-16 16:18:15
18347;201805-01;2018-04-30 16:20:10
18353;201711-02;2018-01-02 00:00:00
18354;201802-01;2018-01-26 17:11:51
18354;201802-02;2018-02-19 16:29:50
18354;201803-01;2018-03-07 16:58:00
18354;201803-02;2018-03-20 16:48:14
18354;201804-01;2018-04-03 13:38:12
18354;201804-02;2018-04-16 16:17:42
18354;201805-01;2018-05-02 09:52:01
18360;201802-01;2018-01-26 17:09:14
18360;201802-02;2018-02-19 16:29:51
18360;201803-01;2018-03-07 16:58:01
18360;201803-02;2018-03-20 16:45:13
18360;201804-01;2018-04-03 13:38:14
18360;201804-02;2018-04-16 16:17:43
18360;201805-01;2018-05-02 09:52:02
18361;201802-01;2018-01-26 17:08:58
18361;201802-02;2018-02-19 16:29:53
18361;201803-01;2018-03-07 16:58:02
18361;201803-02;2018-03-20 16:45:14
18361;201804-01;2018-04-03 13:38:15
18361;201804-02;2018-04-16 16:17:45
18361;201805-01;2018-05-02 09:52:04
18362;201802-01;2018-01-26 17:08:43
18362;201802-02;2018-02-19 16:29:55
18362;201803-01;2018-03-07 16:58:04
18362;201803-02;2018-03-20 16:45:15
18362;201804-01;2018-04-03 13:38:17
18362;201804-02;2018-04-16 16:17:46
18362;201805-01;2018-05-02 09:52:05
18363;201802-01;2018-01-26 17:08:25
18363;201802-02;2018-02-19 16:29:56
18363;201803-01;2018-03-07 16:58:05
18363;201803-02;2018-03-20 16:48:16
18363;201804-01;2018-04-03 13:38:19
18363;201804-02;2018-04-16 16:17:47
18363;201805-01;2018-05-02 09:52:07
18364;201802-01;2018-01-26 17:08:08
18364;201802-02;2018-02-19 16:29:58
18364;201803-01;2018-03-07 16:58:06
18364;201803-02;2018-03-20 16:48:17
18364;201804-01;2018-04-03 13:38:20
18364;201804-02;2018-04-16 16:17:49
18364;201805-01;2018-05-02 09:52:09
18365;201802-02;2018-02-19 13:49:34
18365;201803-01;2018-03-07 16:58:08
18365;201803-02;2018-03-20 16:45:16
18365;201804-01;2018-04-03 13:38:22
18365;201804-02;2018-04-16 16:17:50
18365;201805-01;2018-05-02 09:52:10
18366;201802-02;2018-02-19 13:49:40
18366;201803-01;2018-03-07 16:58:09
18367;201802-02;2018-02-19 13:49:41
18367;201803-01;2018-03-07 16:58:10
18367;201803-02;2018-03-20 16:45:18
18367;201804-01;2018-04-03 13:38:24
18367;201804-02;2018-04-16 16:17:51
18367;201805-01;2018-05-02 09:52:12
