rm;tipo_rm;data_transicao
19275;Evolutiva;2018-02-06 10:43:58
19291;Desenvolvimento;2018-04-03 08:50:39
19291;Evolutiva;2018-04-03 09:08:07
19303;Evoluções e Novos Projetos;2018-03-19 16:24:23
19307;Corretiva;2018-02-06 15:35:20
19312;Evoluções e Novos Projetos;2018-01-30 10:51:58
19315;Evolutiva;2018-01-26 15:19:07
19322;Evoluções e Novos Projetos;2018-01-26 16:21:33
19322;Correções;2018-01-30 10:09:09
19326;Evolutiva;2018-02-05 15:15:42
19327;Evoluções e Novos Projetos;2018-04-24 12:20:39
19328;Evolutiva;2018-02-05 16:34:07
19333;Correções;2018-01-29 08:40:23
19333;Evoluções e Novos Projetos;2018-02-01 11:01:42
19355;Evolutiva;2018-02-22 14:54:36
19356;Evoluções e Novos Projetos;2018-03-20 16:55:12
19357;Evoluções e Novos Projetos;2018-03-19 16:23:37
19364;Evolutiva;2018-02-01 16:50:22
19371;Evolutiva;2018-02-01 08:37:03
19387;Evoluções e Novos Projetos;2018-02-01 11:19:46
19400;Corretiva;2018-02-02 09:15:56
19401;Evoluções e Novos Projetos;2018-02-02 09:58:07
19409;Evoluções e Novos Projetos;2018-02-02 16:45:56
19410;Evoluções e Novos Projetos;2018-05-02 13:27:11
19416;Evoluções e Novos Projetos;2018-02-05 15:10:08
19418;Evolutiva;2018-02-05 15:00:59
19419;Evoluções e Novos Projetos;2018-02-28 11:01:37
19422;Correções;2018-02-26 15:59:27
19431;Evoluções e Novos Projetos;2018-02-06 10:54:19
19436;Evolutiva;2018-02-06 16:25:10
19437;Evolutiva;2018-02-06 16:09:45
19447;Evoluções e Novos Projetos;2018-02-07 16:05:24
19449;Evoluções e Novos Projetos;2018-02-07 16:30:55
19449;Atendimento;2018-02-16 14:02:34
19453;Corretiva;2018-02-08 10:10:04
19464;Corretiva;2018-02-08 14:57:03
19475;Evoluções e Novos Projetos;2018-02-09 10:59:04
19476;Corretiva;2018-02-22 14:38:28
19482;Evolutiva;2018-02-09 13:37:41
19489;Evolutiva;2018-02-15 15:09:39
19491;Correções;2018-02-19 10:01:27
19496;Evolutiva;2018-02-22 14:40:03
19498;Corretiva;2018-02-16 15:54:18
19519;Corretiva;2018-02-22 14:30:13
19527;Consultoria;2018-03-21 11:04:37
19537;Corretiva;2018-02-21 09:53:27
19544;Correções;2018-02-21 13:54:19
19549;Correções;2018-04-13 17:04:14
19554;Evoluções e Novos Projetos;2018-02-21 09:44:17
19555;Corretiva;2018-02-22 10:42:09
19555;Atendimento;2018-02-22 13:59:57
19557;Evolutiva;2018-02-22 14:27:37
19561;Evolutiva;2018-02-22 14:25:05
19566;Correções;2018-03-28 09:45:42
19593;Evolutiva;2018-03-01 11:53:36
19593;Atendimento;2018-05-07 12:41:04
19595;Corretiva;2018-03-01 16:08:35
19597;Evoluções e Novos Projetos;2018-02-23 13:52:12
19600;Evolutiva;2018-03-12 17:41:25
19604;Evoluções e Novos Projetos;2018-02-23 13:50:51
19606;Evolutiva;2018-02-27 14:03:40
19613;Evoluções e Novos Projetos;2018-02-23 16:47:52
19614;Evolutiva;2018-02-23 15:13:32
19626;Evolutiva;2018-02-26 14:22:49
19627;Evolutiva;2018-02-26 14:40:54
19635;Corretiva;2018-02-27 11:38:03
19640;Corretiva;2018-02-27 15:25:30
19689;Corretiva;2018-04-03 17:11:41
19689;Evolutiva;2018-04-04 13:35:15
19692;Evolutiva;2018-03-05 09:28:02
19698;Análise de Projeto de Terceiro;2018-03-05 11:29:32
19698;Atendimento;2018-04-11 09:55:03
19710;Correções;2018-03-08 11:37:04
19713;Evolutiva;2018-03-07 16:02:06
19723;Corretiva;2018-03-07 16:41:19
19725;Evoluções e Novos Projetos;2018-03-07 15:06:59
19729;Evoluções e Novos Projetos;2018-03-26 11:22:21
19741;Correções;2018-03-08 15:40:04
19753;Evolutiva;2018-03-12 15:29:11
19774;Corretiva;2018-03-13 13:52:47
19778;Evoluções e Novos Projetos;2018-03-19 13:47:24
19788;Correções;2018-03-19 14:14:33
19792;Evolutiva;2018-03-15 15:17:54
19806;Evolutiva;2018-03-15 09:14:40
19818;Evolutiva;2018-03-15 09:16:34
19822;Evoluções e Novos Projetos;2018-03-14 16:25:38
19846;Evolutiva;2018-03-15 10:02:41
19872;Evolutiva;2018-03-19 12:16:20
19873;Evolutiva;2018-03-15 16:43:45
19877;Correções;2018-04-09 09:07:09
19884;Corretiva;2018-03-16 14:35:12
19891;Evoluções e Novos Projetos;2018-03-16 11:28:20
19900;Corretiva;2018-03-19 12:12:21
19917;Evoluções e Novos Projetos;2018-03-19 14:32:46
19925;Evoluções e Novos Projetos;2018-03-20 16:50:00
19926;Evoluções e Novos Projetos;2018-03-20 16:51:24
19932;Evolutiva;2018-03-20 16:26:19
19933;Evolutiva;2018-03-20 16:00:37
19947;Corretiva;2018-04-03 09:33:50
19953;Corretiva;2018-03-28 09:27:39
19991;Corretiva;2018-04-02 15:35:15
20002;Evolutiva;2018-03-28 09:18:30
20008;Evoluções e Novos Projetos;2018-05-03 11:28:28
20011;Evoluções e Novos Projetos;2018-03-27 15:48:47
20015;Corretiva;2018-04-05 16:08:47
20019;Evoluções e Novos Projetos;2018-03-28 11:55:55
20023;Evolutiva;2018-04-10 08:57:26
20028;Evolutiva;2018-04-11 15:48:22
20042;Evolutiva;2018-04-11 15:45:36
20045;Evolutiva;2018-04-04 15:58:18
20048;Evolutiva;2018-04-03 11:30:35
20049;Corretiva;2018-04-03 14:45:24
20073;Corretiva;2018-04-10 08:59:03
20097;Correções;2018-04-09 09:11:58
20104;Evoluções e Novos Projetos;2018-05-08 13:36:45
20110;Corretiva;2018-04-12 16:15:48
20111;Evoluções e Novos Projetos;2018-04-10 13:03:04
20125;Consultoria;2018-04-11 13:48:02
20130;Correções;2018-04-11 14:30:20
20131;Evoluções e Novos Projetos;2018-05-07 11:30:29
20164;Correções;2018-04-30 11:05:38
20173;Evolutiva;2018-04-17 09:08:13
20175;Corretiva;2018-04-17 09:11:53
20179;Desenvolvimento;2018-04-17 10:44:01
20184;Correções;2018-04-18 14:37:09
20199;Corretiva;2018-04-19 08:51:16
20209;Corretiva;2018-04-19 15:10:59
20212;Corretiva;2018-04-26 12:02:59
20218;Corretiva;2018-04-20 15:44:38
20219;Corretiva;2018-04-20 11:05:54
20223;Evolutiva;2018-04-24 14:32:14
20242;Evolutiva;2018-04-23 14:44:52
20262;Evolutiva;2018-04-24 16:13:23
20272;Evolutiva;2018-04-24 15:34:25
20276;Corretiva;2018-04-25 13:57:09
20293;Corretiva;2018-05-11 14:59:12
20299;Evolutiva;2018-04-30 15:41:03
20300;Evolutiva;2018-04-30 15:40:09
20301;Corretiva;2018-04-27 10:34:21
20315;Correções;2018-04-30 13:57:38
20318;Evoluções e Novos Projetos;2018-04-30 14:39:02
20321;Evoluções e Novos Projetos;2018-04-30 15:52:06
20322;Corretiva;2018-05-03 10:50:53
20327;Corretiva;2018-05-03 15:36:30
20333;Reunião;2018-05-02 10:22:36
20342;Correções;2018-05-03 16:14:53
20343;Evoluções e Novos Projetos;2018-05-03 08:52:35
20356;Correções;2018-05-03 09:15:47
20370;Evolutiva;2018-05-07 11:59:28
20370;Atendimento;2018-05-08 15:00:19
20382;Evoluções e Novos Projetos;2018-05-04 14:53:56
20389;Evolutiva;2018-05-07 09:05:56
20397;Evolutiva;2018-05-07 11:20:14
20401;Correções;2018-05-08 16:50:51
20414;Evoluções e Novos Projetos;2018-05-10 14:52:19
20420;Evolutiva;2018-05-08 16:02:42
